"gene_label","fold_change","padj","direction","method"
"F930017D23Rik",18.991106571206,2.90928962554615e-32,"Up in Erythroblast","DESeq2"
"Slfn14",17.4605827405475,3.54853917037069e-95,"Up in Erythroblast","DESeq2"
"Apol11a",17.3964746153592,4.34526506222726e-27,"Up in Erythroblast","DESeq2"
"ENSMUSG00000085483",16.3770386026344,1.12714467111986e-23,"Up in Erythroblast","DESeq2"
"Hbq1b",15.7530139568341,4.13330712963745e-22,"Up in Erythroblast","DESeq2"
"Nhlrc4",15.6435507491129,9.54551161019552e-22,"Up in Erythroblast","DESeq2"
"Ccr3",15.4637755347622,3.44837013100683e-21,"Up in Erythroblast","DESeq2"
"Ighg2c",15.371595275612,7.86483452820166e-21,"Up in Erythroblast","DESeq2"
"Apol10a",15.3378685184646,1.264346145189e-20,"Up in Erythroblast","DESeq2"
"Slc4a1",15.2446300554827,7.28092296995633e-84,"Up in Erythroblast","DESeq2"
"Eya1",10.8962569764649,8.6581609773277e-11,"Up in CMP","DESeq2"
"Tek",10.3419611075179,1.37328214010394e-09,"Up in CMP","DESeq2"
"Prrg4",9.52607735256505,6.62719431807857e-08,"Up in CMP","DESeq2"
"Cbx2",9.32816076110854,1.68465036677925e-07,"Up in CMP","DESeq2"
"Ptk7",9.24701677520025,2.30483419537905e-07,"Up in CMP","DESeq2"
"Pofut3",9.15130234328299,5.31493741706976e-07,"Up in CMP","DESeq2"
"ENSMUSG00000104184",8.85561762411565,1.48209869143303e-06,"Up in CMP","DESeq2"
"Rpl7a-ps11",8.69673489474185,3.42103314193238e-06,"Up in CMP","DESeq2"
"ENSMUSG00000021867",8.69544494346916,2.23866055755805e-06,"Up in CMP","DESeq2"
"Tmem254",8.69544494346916,2.23866055755805e-06,"Up in CMP","DESeq2"
"Slfn14",17.4809689527947,2.5421545541285e-05,"Up in Erythroblast","limma-voom"
"F930017D23Rik",16.1117592571567,3.24096596993671e-05,"Up in Erythroblast","limma-voom"
"Apol11b",15.7847400126073,0.000131199792090403,"Up in Erythroblast","limma-voom"
"Slc4a1",15.2110178255217,5.56198771249264e-06,"Up in Erythroblast","limma-voom"
"ENSMUSG00000101249",14.9267616797418,0.000186704857085838,"Up in Erythroblast","limma-voom"
"Alas2",14.7006608495931,9.68764705858205e-06,"Up in Erythroblast","limma-voom"
"Apol11a",14.6960205255009,2.27641687501839e-05,"Up in Erythroblast","limma-voom"
"Ccdc92b",14.4813209362351,7.31636419870048e-06,"Up in Erythroblast","limma-voom"
"Reln",13.9107400495557,0.000263884290608991,"Up in Erythroblast","limma-voom"
"Mageb16",13.8211823510361,0.00013296019904209,"Up in Erythroblast","limma-voom"
"Eya1",9.0191999743918,8.70236626030017e-05,"Up in CMP","limma-voom"
"Tek",8.55716851021915,0.00011382216955956,"Up in CMP","limma-voom"
"Prrg4",7.8763066007641,0.000179902108471534,"Up in CMP","limma-voom"
"Cbx2",7.78957649600254,0.000227281005617576,"Up in CMP","limma-voom"
"Ptk7",7.7033676515647,0.000212479770617835,"Up in CMP","limma-voom"
"ENSMUSG00000104184",7.50341595144014,0.000473493761676187,"Up in CMP","limma-voom"
"Pofut3",7.42634058369146,0.000639583879306611,"Up in CMP","limma-voom"
"Rpl7a-ps11",7.42492388916869,0.000769895132529423,"Up in CMP","limma-voom"
"ENSMUSG00000021867",7.27145734818883,0.000285203346819493,"Up in CMP","limma-voom"
"Tmem254",7.27145734818883,0.000285203346819493,"Up in CMP","limma-voom"
