"gene_id","gene_label","fold_change","padj"
"ENSMUSG00000025932.10","Eya1",-9.0191999743918,8.70236626030017e-05
"ENSMUSG00000006386.11","Tek",-8.55716851021915,0.00011382216955956
"ENSMUSG00000027171.6","Prrg4",-7.8763066007641,0.000179902108471534
"ENSMUSG00000025577.7","Cbx2",-7.78957649600254,0.000227281005617576
"ENSMUSG00000023972.9","Ptk7",-7.7033676515647,0.000212479770617835
"ENSMUSG00000104184.1","ENSMUSG00000104184",-7.50341595144014,0.000473493761676187
"ENSMUSG00000046152.12","Pofut3",-7.42634058369146,0.000639583879306611
"ENSMUSG00000067147.7","Rpl7a-ps11",-7.42492388916869,0.000769895132529423
"ENSMUSG00000021867.12","ENSMUSG00000021867",-7.27145734818883,0.000285203346819493
"ENSMUSG00000072676.7","Tmem254",-7.27145734818883,0.000285203346819493
"ENSMUSG00000074575.4","Kcng1",-7.2283467118925,0.000334802960328163
"ENSMUSG00000102212.1","ENSMUSG00000102212",-7.19680270829287,0.000349951545464485
"ENSMUSG00000104300.1","ENSMUSG00000104300",-7.18113681216059,0.00461681550900757
"ENSMUSG00000011008.9","Mcoln2",-7.14726052150413,0.000319780720989748
"ENSMUSG00000046916.8","Myct1",-7.12580167926703,0.00126645614426271
"ENSMUSG00000074039.6","4930520O04Rik",-7.1176677020812,0.000622325640999447
"ENSMUSG00000073988.9","Ttpa",-7.10152927642996,0.000357179368790952
"ENSMUSG00000055835.9","Zfp1",-7.06627594350086,0.000404939820810202
"ENSMUSG00000033032.11","Afap1l1",-7.02255944530183,0.00513086523074128
"ENSMUSG00000007480.3","Mc5r",-6.99670609671846,0.000705154079383623
